type,subtype,0,1,2
info,start,2020-06-24 19:45:15,2020-01-10 15:29:32.450000,
info,trace_id,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHC
info,waveform_file,PRB_+30.19_Output.mseed,PRB_-36.00_Output.mseed,
info,response_file,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml
info,delay_start,0.0,0.0,
info,spec_min_freq_hz,0.02,0.02,
info,spec_max_freq_hz,16.0,16.0,
info,spec_max_amp_pct,5.0,5.0,
info,spec_max_phase_deg,5.0,5.0,
info,in_spec,False,False,
info,duration_s,604.0,604.0,
info,pre_s,0.0,0.0,
info,post_s,0.0,0.0,
info,sampling_rate_sps,40.0,40.0,
info,windows,23.0,23.0,
info,timing error estimate [s],-0.002346,-0.002023,
info,timing error uncertainty [s],2.2e-05,3.6e-05,
info,gain error estimate [%],-85.745,-83.7409,
info,gain error uncertainty [%],0.0146,0.033,
info,confidence [%],0.95,0.95,
info,output_units,V,V,V
info,input_units,m/s,m/s,m/s
info,calan,1.1.0,1.1.0,1.1.0
pole_01,damping,0.474823,0.545449,0.623437
pole_01,freq_hz,0.973042,0.987163,1.00001
pole_01,imag_rad,-5.38064,-5.19861,-4.9127
pole_01,real_rad,-2.90298,-3.38316,-3.9172
zero_0,real_rad,0.0,0.0,0.0
zero_0,freq_hz,0.0,0.0,0.0
zero_1,real_rad,0.0,0.0,0.0
zero_1,freq_hz,0.0,0.0,0.0
f_norm,hz,10.0,10.0,10.0
sensitivity,V/(m/s),54.6085,62.3805,388.0
